# =============== 挑战任务：复杂映射 ===============
# 难度：⭐⭐⭐⭐
# 规则：a->3, b->1, c->2（非线性映射，需要记忆）
a b c	3 1 2
c c a b c a	2 2 3 1 2 3
c c a b c b	2 2 3 1 2 1
c c a b c c	2 2 3 1 2 2
c _ c a _ b _ c c	2 2 3 1 2 2
c c a c a a	2 2 3 2 3 3
c c a c a b	2 2 3 2 3 1
c c a c a c	2 2 3 2 3 2
c c a c b a	2 2 3 2 1 3
c c a c b b	2 2 3 2 1 1
c _ c _ a _ c b b	2 2 3 2 1 1
c c a c b c	2 2 3 2 1 2
c c a c c a	2 2 3 2 2 3
c c a c c b	2 2 3 2 2 1
[ c c a c c b ]	2 2 3 2 2 1
c c a c c c	2 2 3 2 2 2
c c b a a a	2 2 1 3 3 3
c c b a a b	2 2 1 3 3 1
c c b a a c	2 2 1 3 3 2
c c b a b a	2 2 1 3 1 3
( c c b a b a )	2 2 1 3 1 3
c c b a b b	2 2 1 3 1 1
c c b a b c	2 2 1 3 1 2
c c b a c a	2 2 1 3 2 3
c c b a c b	2 2 1 3 2 1
( c c b a c b )	2 2 1 3 2 1
c c b a c c	2 2 1 3 2 2
c c b b a a	2 2 1 1 3 3
[ c c , b , b a a ]	2 2 1 1 3 3
c c b b a b	2 2 1 1 3 1
c | c b b a b	2 2 1 1 3 1
c c b b a c	2 2 1 1 3 2
c c b b b a	2 2 1 1 1 3
c c b b b b	2 2 1 1 1 1
c c b b b c	2 2 1 1 1 2
c c b b c a	2 2 1 1 2 3
c c b b c b	2 2 1 1 2 1
c c b b c c	2 2 1 1 2 2
c c b c a a	2 2 1 2 3 3
c - c - b - c - a a	2 2 1 2 3 3
c c b c a b	2 2 1 2 3 1
c c b c a c	2 2 1 2 3 2
[ c c b c a c ]	2 2 1 2 3 2
c c b c b a	2 2 1 2 1 3
c c b c b b	2 2 1 2 1 1
c c b c b c	2 2 1 2 1 2
c c b c c a	2 2 1 2 2 3
c c b c c b	2 2 1 2 2 1
c c b c c c	2 2 1 2 2 2
c c c a a a	2 2 2 3 3 3
c c c a a b	2 2 2 3 3 1
c c c a a c	2 2 2 3 3 2
[ c c . c a a c ]	2 2 2 3 3 2
c c c a b a	2 2 2 3 1 3
c c c a b b	2 2 2 3 1 1
c c c a b c	2 2 2 3 1 2
c c c a c a	2 2 2 3 2 3
c c c a c b	2 2 2 3 2 1
c c c a c c	2 2 2 3 2 2
c , c , c , a c c	2 2 2 3 2 2
c c c b a a	2 2 2 1 3 3
( c c c b a a )	2 2 2 1 3 3
c c c b a b	2 2 2 1 3 1
c c - c - b - a - b	2 2 2 1 3 1
c c c b a c	2 2 2 1 3 2
c c c b b a	2 2 2 1 1 3
c c c b b b	2 2 2 1 1 1
c c c b b c	2 2 2 1 1 2
c c c b c a	2 2 2 1 2 3
c c c | b | c | a	2 2 2 1 2 3
c c c b c b	2 2 2 1 2 1
c c c b c c	2 2 2 1 2 2
c c c c a a	2 2 2 2 3 3
c c c c a b	2 2 2 2 3 1
c c c c , a b	2 2 2 2 3 1
c c c c a c	2 2 2 2 3 2
c c c c b a	2 2 2 2 1 3
[ c c c c b a ]	2 2 2 2 1 3
c c c c b b	2 2 2 2 1 1
c c c c b c	2 2 2 2 1 2
c c c c c a	2 2 2 2 2 3
c c c c c . a	2 2 2 2 2 3
c c c c c b	2 2 2 2 2 1
c c c c c c	2 2 2 2 2 2
a b a b a b	3 1 3 1 3 1
b c b c b c	1 2 1 2 1 2
a b c a b c a b c	3 1 2 3 1 2 3 1 2
a b c a b c a	3 1 2 3 1 2 3
a a b b c c	3 3 1 1 2 2
a b b c c c	3 1 1 2 2 2
a a a b b c	3 3 3 1 1 2
